DTE,BARRI,AEB,SC,NOM_BARRI
1.0,1.0,1.0,1.0, el Raval
1.0,1.0,1.0,2.0, el Raval
1.0,1.0,2.0,3.0, el Raval
1.0,1.0,2.0,4.0, el Raval
1.0,1.0,3.0,5.0, el Raval
1.0,1.0,3.0,6.0, el Raval
1.0,1.0,3.0,7.0, el Raval
1.0,1.0,4.0,8.0, el Raval
1.0,1.0,4.0,9.0, el Raval
1.0,1.0,4.0,10.0, el Raval
1.0,1.0,5.0,11.0, el Raval
1.0,1.0,5.0,12.0, el Raval
1.0,1.0,5.0,13.0, el Raval
1.0,1.0,6.0,14.0, el Raval
1.0,1.0,6.0,15.0, el Raval
1.0,1.0,6.0,16.0, el Raval
1.0,1.0,6.0,17.0, el Raval
1.0,1.0,7.0,18.0, el Raval
1.0,1.0,7.0,19.0, el Raval
1.0,1.0,7.0,20.0, el Raval
1.0,1.0,8.0,21.0, el Raval
1.0,2.0,9.0,22.0, el Barri Gòtic
1.0,2.0,9.0,23.0, el Barri Gòtic
1.0,2.0,10.0,25.0, el Barri Gòtic
1.0,2.0,10.0,26.0, el Barri Gòtic
1.0,2.0,10.0,27.0, el Barri Gòtic
1.0,2.0,11.0,28.0, el Barri Gòtic
1.0,2.0,11.0,29.0, el Barri Gòtic
1.0,2.0,12.0,30.0, el Barri Gòtic
1.0,2.0,12.0,31.0, el Barri Gòtic
1.0,3.0,13.0,32.0, la Barceloneta
1.0,3.0,13.0,33.0, la Barceloneta
1.0,3.0,13.0,34.0, la Barceloneta
1.0,3.0,14.0,35.0, la Barceloneta
1.0,3.0,14.0,36.0, la Barceloneta
1.0,3.0,15.0,37.0, la Barceloneta
1.0,3.0,15.0,38.0, la Barceloneta
1.0,3.0,15.0,39.0, la Barceloneta
1.0,3.0,15.0,40.0, la Barceloneta
1.0,3.0,15.0,41.0, la Barceloneta
1.0,3.0,15.0,42.0, la Barceloneta
1.0,4.0,16.0,43.0," Sant Pere, Santa Caterina i la Ribera"
1.0,4.0,16.0,44.0," Sant Pere, Santa Caterina i la Ribera"
1.0,4.0,16.0,45.0," Sant Pere, Santa Caterina i la Ribera"
1.0,4.0,16.0,46.0," Sant Pere, Santa Caterina i la Ribera"
1.0,4.0,17.0,47.0," Sant Pere, Santa Caterina i la Ribera"
1.0,4.0,17.0,48.0," Sant Pere, Santa Caterina i la Ribera"
1.0,4.0,17.0,49.0," Sant Pere, Santa Caterina i la Ribera"
1.0,4.0,18.0,50.0," Sant Pere, Santa Caterina i la Ribera"
1.0,4.0,18.0,51.0," Sant Pere, Santa Caterina i la Ribera"
1.0,4.0,18.0,52.0," Sant Pere, Santa Caterina i la Ribera"
1.0,4.0,19.0,53.0," Sant Pere, Santa Caterina i la Ribera"
1.0,4.0,19.0,54.0," Sant Pere, Santa Caterina i la Ribera"
1.0,4.0,19.0,55.0," Sant Pere, Santa Caterina i la Ribera"
2.0,5.0,20.0,1.0, el Fort Pienc
2.0,5.0,20.0,2.0, el Fort Pienc
2.0,5.0,20.0,3.0, el Fort Pienc
2.0,5.0,20.0,4.0, el Fort Pienc
2.0,5.0,20.0,5.0, el Fort Pienc
2.0,5.0,20.0,6.0, el Fort Pienc
2.0,5.0,20.0,7.0, el Fort Pienc
2.0,5.0,20.0,8.0, el Fort Pienc
2.0,5.0,20.0,9.0, el Fort Pienc
2.0,5.0,21.0,10.0, el Fort Pienc
2.0,5.0,21.0,11.0, el Fort Pienc
2.0,5.0,21.0,12.0, el Fort Pienc
2.0,5.0,21.0,13.0, el Fort Pienc
2.0,5.0,22.0,14.0, el Fort Pienc
2.0,5.0,22.0,15.0, el Fort Pienc
2.0,5.0,22.0,16.0, el Fort Pienc
2.0,5.0,22.0,17.0, el Fort Pienc
2.0,5.0,22.0,18.0, el Fort Pienc
2.0,5.0,22.0,19.0, el Fort Pienc
2.0,5.0,22.0,20.0, el Fort Pienc
2.0,6.0,23.0,21.0, la Sagrada Família
2.0,6.0,23.0,22.0, la Sagrada Família
2.0,6.0,23.0,23.0, la Sagrada Família
2.0,6.0,23.0,24.0, la Sagrada Família
2.0,6.0,24.0,25.0, la Sagrada Família
2.0,6.0,24.0,26.0, la Sagrada Família
2.0,6.0,24.0,27.0, la Sagrada Família
2.0,6.0,24.0,28.0, la Sagrada Família
2.0,6.0,24.0,29.0, la Sagrada Família
2.0,6.0,24.0,30.0, la Sagrada Família
2.0,6.0,24.0,31.0, la Sagrada Família
2.0,6.0,24.0,32.0, la Sagrada Família
2.0,6.0,25.0,33.0, la Sagrada Família
