,TOTAL_BORN,CAT,Resta_Estat,Estranger,DTE,BARRI,NOM_BARRI,CAT_pct,Resta_Estat_pct,Estranger_pct,NascutsRestaEstat_Votants_ratio,barri_size,Població,Index_RFD,Index_intervals,TOTAL_EDUC,Educ_NO,Educ_primar,Educ_batx_elem,Educ_batx_sup,Educ_univ,No consta,Educ_univ_pct,Educ_primar_pct,Total Aturats,Fins a 6 mesos,De 6 a 12 mesos,Més de 12 mesos,Tot_Atur_pct,Tot_LT_Atur_pct,Electors,Votants,JxSi,Cs,PSC,CUP,ECP,PP,Altres,Blancs,Nuls,JxSi_pct,JxSi_pct_Electors,Cs_pct,Cs_pct_Electors,PSC_pct,PSC_pct_Electors,CUP_pct,CUP_pct_Electors,PP_pct,PP_pct_Electors,ECP_pct,ECP_pct_Electors,Indep,Indep_pct,Indep_pct_Electors,DretD,DretD_pct,DretD_pct_Electors,Union,Union_pct,Union_pct_Electors,Participacio_pct,Effective_Educ_univ_pct
0,43293.0,16300.0,5312.0,21681.0,1,1, el Raval,37.65,12.27,50.08,24.578937627244123,5.0,48471.0,65.9,1.0,41223.0,1323.0,14963.0,8698.0,7209.0,9018.0,12.0,21.88,36.3,3977.0,1946.0,551.0,1480.0,9.65,3.5900000000000003,20766,11960,3417,1778,1792,1537,1571,1296,471,55,43,28.57,16.45,14.87,8.56,14.98,8.63,12.85,7.4,10.84,6.24,13.14,7.57,4954,41.42,23.85,6525,54.56,31.42,4866,40.69,23.43,57.59414427429452,43.43
1,17570.0,6880.0,3756.0,6934.0,1,2, el Barri Gòtic,39.16,21.38,39.46,35.31402783001128,3.0,15911.0,98.5,2.0,13913.0,392.0,2737.0,2300.0,3228.0,5255.0,1.0,37.769999999999996,19.67,1051.0,512.0,132.0,407.0,7.55,2.93,7855,4952,1699,644,537,851,679,348,166,15,13,34.31,21.63,13.0,8.2,10.84,6.84,17.18,10.83,7.03,4.43,13.71,8.64,2550,51.49,32.46,3229,65.2,41.1,1529,30.87,19.47,63.042647994907696,66.9
2,17950.0,9770.0,2415.0,5764.0,1,3, la Barceloneta,54.43,13.45,32.11,19.819450143619203,3.0,15181.0,84.5,2.0,13634.0,797.0,3568.0,3170.0,2697.0,3399.0,3.0,24.93,26.169999999999998,1223.0,566.0,162.0,495.0,8.97,3.63,9102,5782,2148,790,803,737,571,470,206,31,26,37.15,23.6,13.66,8.68,13.89,8.82,12.75,8.1,8.13,5.16,9.88,6.27,2885,49.9,31.700000000000003,3456,59.78,37.97,2063,35.68,22.66,63.52450010986597,37.34
3,22347.0,10482.0,3757.0,8108.0,1,4," Sant Pere, Santa Caterina i la Ribera",46.91,16.81,36.28,26.385279865159074,4.0,22674.0,92.5,2.0,19995.0,660.0,4245.0,3271.0,4330.0,7482.0,7.0,37.419999999999995,21.23,1691.0,783.0,226.0,682.0,8.459999999999999,3.4099999999999997,11896,7742,2505,1113,918,1137,1086,618,296,45,24,32.36,21.06,14.38,9.36,11.86,7.72,14.69,9.56,7.98,5.2,14.03,9.13,3642,47.05,30.619999999999997,4728,61.08,39.75,2649,34.22,22.279999999999998,65.08069939475453,62.9
4,30679.0,19033.0,5497.0,6149.0,2,5, el Fort Pienc,62.04,17.92,20.04,22.409294741133305,5.0,31785.0,104.5,3.0,27716.0,861.0,4257.0,5031.0,7463.0,10099.0,5.0,36.44,15.36,1479.0,616.0,216.0,647.0,5.34,2.33,21894,17390,7230,2794,1591,1963,1584,1444,660,75,49,41.58,33.02,16.07,12.76,9.15,7.27,11.29,8.97,8.3,6.6,9.11,7.23,9193,52.87,41.99,10777,61.98,49.22,5829,33.52,26.63,79.42815383210012,46.13
5,52288.0,34131.0,9180.0,8977.0,2,6, la Sagrada Família,65.28,17.56,17.17,21.19553923945418,5.0,51562.0,92.4,2.0,45630.0,1664.0,7559.0,8831.0,11999.0,15568.0,9.0,34.12,16.57,2479.0,1080.0,360.0,1039.0,5.43,2.2800000000000002,36916,28930,12956,4215,2750,3051,2485,2188,1091,114,80,44.78,35.1,14.57,11.42,9.51,7.45,10.55,8.26,7.56,5.93,8.59,6.73,16007,55.33,43.36,18492,63.92,50.09,9153,31.64,24.8,78.36710369487486,42.17
6,41544.0,26670.0,6171.0,8703.0,2,7, la Dreta de l'Eixample,64.2,14.85,20.95,18.790536219968942,5.0,43749.0,165.3,4.0,37794.0,894.0,3683.0,4822.0,9783.0,18609.0,3.0,49.24,9.74,1669.0,743.0,284.0,642.0,4.42,1.7000000000000002,29713,23970,10928,3546,1774,2694,1701,1941,1212,122,52,45.59,36.78,14.79,11.93,7.4,5.97,11.24,9.07,8.1,6.53,7.1,5.72,13622,56.830000000000005,45.85,15323,63.93000000000001,51.57,7261,30.29,24.43,80.67175983576213,62.63
7,39387.0,26120.0,5612.0,7655.0,2,8, l'Antiga Esquerra de l'Eixample,66.32,14.25,19.44,17.685617042732886,5.0,41975.0,127.8,3.0,36823.0,960.0,4020.0,5250.0,9884.0,16701.0,8.0,45.35,10.92,1804.0,832.0,294.0,678.0,4.9,1.8399999999999999,29164,23072,10440,3645,1881,2209,1637,1956,1135,112,57,45.25,35.8,15.8,12.5,8.15,6.45,9.57,7.57,8.48,6.71,7.1,5.61,12649,54.82,43.37,14286,61.92,48.98,7482,32.43,25.66,79.11123302701961,57.27
8,61449.0,38215.0,10452.0,12783.0,2,9, la Nova Esquerra de l'Eixample,62.19,17.01,20.8,21.47656522900528,5.0,57863.0,109.1,3.0,51148.0,1397.0,7154.0,8626.0,13946.0,20005.0,20.0,39.11,13.99,2684.0,1221.0,406.0,1057.0,5.25,2.07,42019,33409,15010,5227,2922,3156,2608,2830,1415,146,95,44.93,35.72,15.65,12.44,8.75,6.95,9.45,7.51,8.47,6.74,7.81,6.21,18166,54.379999999999995,43.23,20774,62.19,49.44,10979,32.870000000000005,26.13,79.50926961612605,47.61
9,37742.0,23719.0,6282.0,7740.0,2,10, Sant Antoni,62.85,16.64,20.51,20.939302023265892,5.0,38369.0,97.8,2.0,33981.0,1227.0,6155.0,6502.0,8729.0,11352.0,16.0,33.410000000000004,18.11,1927.0,896.0,299.0,732.0,5.67,2.15,26720,20594,9156,2635,1924,2462,1899,1581,780,94,63,44.46,34.27,12.79,9.86,9.34,7.2,11.95,9.21,7.68,5.92,9.22,7.11,11618,56.41,43.480000000000004,13517,65.63,50.59,6140,29.81,22.98,77.07335329341318,42.49
10,37549.0,19755.0,6501.0,11293.0,3,11, el Poble Sec - AEI Parc Montjuïc,52.61,17.31,30.08,24.760054844606945,5.0,40674.0,66.3,1.0,35243.0,1471.0,9895.0,8009.0,7589.0,8273.0,6.0,23.47,28.08,2802.0,1328.0,407.0,1067.0,7.95,3.0300000000000002,24463,16647,5974,2258,1995,2193,2109,1398,556,93,71,35.89,24.42,13.56,9.23,11.98,8.16,13.17,8.96,8.4,5.71,12.67,8.62,8167,49.06,33.38,10276,61.730000000000004,42.0,5651,33.94,23.1,68.04970772186567,33.82
