TOTAL_BORN,CAT,Resta_Estat,Estranger,DTE,BARRI,NOM_BARRI,CAT_pct,Resta_Estat_pct,Estranger_pct,NascutsRestaEstat_Votants_ratio,barri_size,Població,Index_RFD,Index_intervals,TOTAL_EDUC,Educ_NO,Educ_primar,Educ_batx_elem,Educ_batx_sup,Educ_univ,No consta,Educ_univ_pct,Educ_primar_pct,Total Aturats,Fins a 6 mesos,De 6 a 12 mesos,Més de 12 mesos,Tot_Atur_pct,Tot_LT_Atur_pct
43293.0,16300.0,5312.0,21681.0,1,1, el Raval,37.65,12.27,50.08,24.578937627244123,5.0,48471.0,65.9,1.0,41223.0,1323.0,14963.0,8698.0,7209.0,9018.0,12.0,21.88,36.3,3559.0,1819.0,480.0,1260.0,8.63,3.06
17570.0,6880.0,3756.0,6934.0,1,2, el Barri Gòtic,39.16,21.38,39.46,35.31402783001128,3.0,15911.0,98.5,2.0,13913.0,392.0,2737.0,2300.0,3228.0,5255.0,1.0,37.769999999999996,19.67,949.0,513.0,135.0,301.0,6.819999999999999,2.16
17950.0,9770.0,2415.0,5764.0,1,3, la Barceloneta,54.43,13.45,32.11,19.819450143619203,3.0,15181.0,84.5,2.0,13634.0,797.0,3568.0,3170.0,2697.0,3399.0,3.0,24.93,26.169999999999998,1062.0,519.0,140.0,403.0,7.79,2.96
22347.0,10482.0,3757.0,8108.0,1,4," Sant Pere, Santa Caterina i la Ribera",46.91,16.81,36.28,26.385279865159074,4.0,22674.0,92.5,2.0,19995.0,660.0,4245.0,3271.0,4330.0,7482.0,7.0,37.419999999999995,21.23,1466.0,715.0,194.0,557.0,7.33,2.79
30679.0,19033.0,5497.0,6149.0,2,5, el Fort Pienc,62.04,17.92,20.04,22.409294741133305,5.0,31785.0,104.5,3.0,27716.0,861.0,4257.0,5031.0,7463.0,10099.0,5.0,36.44,15.36,1368.0,658.0,185.0,525.0,4.9399999999999995,1.8900000000000001
52288.0,34131.0,9180.0,8977.0,2,6, la Sagrada Família,65.28,17.56,17.17,21.19553923945418,5.0,51562.0,92.4,2.0,45630.0,1664.0,7559.0,8831.0,11999.0,15568.0,9.0,34.12,16.57,2239.0,1063.0,308.0,868.0,4.91,1.9
41544.0,26670.0,6171.0,8703.0,2,7, la Dreta de l'Eixample,64.2,14.85,20.95,18.790536219968942,5.0,43749.0,165.3,4.0,37794.0,894.0,3683.0,4822.0,9783.0,18609.0,3.0,49.24,9.74,1466.0,714.0,215.0,537.0,3.88,1.4200000000000002
39387.0,26120.0,5612.0,7655.0,2,8, l'Antiga Esquerra de l'Eixample,66.32,14.25,19.44,17.685617042732886,5.0,41975.0,127.8,3.0,36823.0,960.0,4020.0,5250.0,9884.0,16701.0,8.0,45.35,10.92,1576.0,783.0,227.0,566.0,4.279999999999999,1.54
61449.0,38215.0,10452.0,12783.0,2,9, la Nova Esquerra de l'Eixample,62.19,17.01,20.8,21.47656522900528,5.0,57863.0,109.1,3.0,51148.0,1397.0,7154.0,8626.0,13946.0,20005.0,20.0,39.11,13.99,2359.0,1114.0,347.0,898.0,4.61,1.76
37742.0,23719.0,6282.0,7740.0,2,10, Sant Antoni,62.85,16.64,20.51,20.939302023265892,5.0,38369.0,97.8,2.0,33981.0,1227.0,6155.0,6502.0,8729.0,11352.0,16.0,33.410000000000004,18.11,1728.0,864.0,253.0,611.0,5.09,1.7999999999999998
37549.0,19755.0,6501.0,11293.0,3,11, el Poble Sec - AEI Parc Montjuïc,52.61,17.31,30.08,24.760054844606945,5.0,40674.0,66.3,1.0,35243.0,1471.0,9895.0,8009.0,7589.0,8273.0,6.0,23.47,28.08,2492.0,1227.0,364.0,901.0,7.07,2.56
792.0,,,,3,12, la Marina del Prat Vermell - AEI Zona Franca,,,,,1.0,1151.0,39.4,1.0,993.0,77.0,458.0,308.0,108.0,42.0,0.0,4.2299999999999995,46.12,125.0,58.0,19.0,48.0,12.590000000000002,4.83
30667.0,17652.0,7433.0,5583.0,3,13, la Marina de Port,57.56,24.24,18.21,29.6312537372932,5.0,30286.0,72.0,1.0,25807.0,1465.0,8101.0,6879.0,6001.0,3356.0,5.0,13.0,31.39,1844.0,807.0,262.0,775.0,7.1499999999999995,3.0
10229.0,5916.0,2245.0,2069.0,3,14, la Font de la Guatlla,57.84,21.95,20.23,27.508883715230976,3.0,10406.0,77.6,2.0,9178.0,406.0,1915.0,2009.0,2324.0,2518.0,6.0,27.439999999999998,20.87,627.0,306.0,91.0,230.0,6.83,2.5100000000000002
15080.0,9656.0,2917.0,2506.0,3,15, Hostafrancs,64.03,19.34,16.62,23.20050902728068,3.0,15919.0,76.8,2.0,13995.0,530.0,3270.0,3065.0,3345.0,3779.0,6.0,27.0,23.369999999999997,766.0,358.0,108.0,300.0,5.47,2.1399999999999997
19025.0,12092.0,3849.0,3084.0,3,16, la Bordeta,63.56,20.23,16.21,24.145285741170568,3.0,18451.0,76.0,2.0,16172.0,761.0,3812.0,3936.0,4287.0,3361.0,15.0,20.78,23.57,899.0,421.0,126.0,352.0,5.56,2.18
24288.0,14532.0,5141.0,4615.0,3,17, Sants - Badal,59.83,21.17,19.0,26.13226249173995,4.0,24245.0,79.6,2.0,21297.0,1044.0,5343.0,4896.0,5189.0,4814.0,11.0,22.6,25.09,965.0,428.0,136.0,401.0,4.53,1.8800000000000001
